Accession,Description
Q5M8N0,CB1 cannabinoid receptor-interacting protein 1 OS=Mus musculus GN=Cnrip1 PE=1 SV=1 - [CNRP1_MOUSE]
P62311,U6 snRNA-associated Sm-like protein LSm3 OS=Mus musculus GN=Lsm3 PE=3 SV=2 - [LSM3_MOUSE]
A2AFG8,Neural cell adhesion molecule L1 OS=Mus musculus GN=L1cam PE=4 SV=1 - [A2AFG8_MOUSE]
E9QA15,Protein Cald1 OS=Mus musculus GN=Cald1 PE=1 SV=1 - [E9QA15_MOUSE]
E9QA16,Protein Cald1 OS=Mus musculus GN=Cald1 PE=1 SV=1 - [E9QA16_MOUSE]
Q5NCU4,SPARC OS=Mus musculus GN=Sparc PE=4 SV=1 - [Q5NCU4_MOUSE]
Q3TVK3,Aspartyl aminopeptidase OS=Mus musculus GN=Dnpep PE=2 SV=1 - [Q3TVK3_MOUSE]
Q9DCL9,Multifunctional protein ADE2 OS=Mus musculus GN=Paics PE=1 SV=4 - [PUR6_MOUSE]
P49443,Protein phosphatase 1A OS=Mus musculus GN=Ppm1a PE=1 SV=1 - [PPM1A_MOUSE]
P56565,Protein S100-A1 OS=Mus musculus GN=S100a1 PE=1 SV=2 - [S10A1_MOUSE]
B7ZCF1,26S protease regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=3 SV=1 - [B7ZCF1_MOUSE]
P55284,Cadherin-5 OS=Mus musculus GN=Cdh5 PE=1 SV=2 - [CADH5_MOUSE]
Q9D8N0,Elongation factor 1-gamma OS=Mus musculus GN=Eef1g PE=1 SV=3 - [EF1G_MOUSE]
P08003,Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE]
Q6NVE9,Protein phosphatase PTC7 homolog OS=Mus musculus GN=Pptc7 PE=2 SV=1 - [PPTC7_MOUSE]
G5E924,Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Mus musculus GN=Hnrnpl PE=4 SV=1 - [G5E924_MOUSE]
B7ZC46,Septin-8 OS=Mus musculus GN=Sept8 PE=1 SV=1 - [B7ZC46_MOUSE]
Q91W50,Cold shock domain-containing protein E1 OS=Mus musculus GN=Csde1 PE=2 SV=1 - [CSDE1_MOUSE]
Q99104,Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=2 - [MYO5A_MOUSE]
Q761V0,Sodium- and chloride-dependent glycine transporter 2 OS=Mus musculus GN=Slc6a5 PE=2 SV=1 - [SC6A5_MOUSE]
Q99020,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1 - [ROAA_MOUSE]
Q61885,Myelin-oligodendrocyte glycoprotein OS=Mus musculus GN=Mog PE=1 SV=1 - [MOG_MOUSE]
O08638,Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1 - [MYH11_MOUSE]
Q9CQE8,UPF0568 protein C14orf166 homolog OS=Mus musculus PE=2 SV=1 - [CN166_MOUSE]
O70443,Guanine nucleotide-binding protein G(z) subunit alpha OS=Mus musculus GN=Gnaz PE=2 SV=4 - [GNAZ_MOUSE]
Q8CIN4,Serine/threonine-protein kinase PAK 2 OS=Mus musculus GN=Pak2 PE=1 SV=1 - [PAK2_MOUSE]
Q61036,Serine/threonine-protein kinase PAK 3 OS=Mus musculus GN=Pak3 PE=1 SV=2 - [PAK3_MOUSE]
Q9JMD0,BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Mus musculus GN=Znf207 PE=2 SV=1 - [ZN207_MOUSE]
Q8C2Q7,Heterogeneous nuclear ribonucleoprotein H OS=Mus musculus GN=Hnrnph1 PE=2 SV=1 - [Q8C2Q7_MOUSE]
P70333,Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus GN=Hnrnph2 PE=2 SV=1 - [HNRH2_MOUSE]
P80315,T-complex protein 1 subunit delta OS=Mus musculus GN=Cct4 PE=1 SV=3 - [TCPD_MOUSE]
P31324,cAMP-dependent protein kinase type II-beta regulatory subunit OS=Mus musculus GN=Prkar2b PE=1 SV=3 - [KAP3_MOUSE]
P21661,Neuroendocrine convertase 2 OS=Mus musculus GN=Pcsk2 PE=1 SV=1 - [NEC2_MOUSE]
Q3TDK6,Protein rogdi homolog OS=Mus musculus GN=Rogdi PE=2 SV=2 - [ROGDI_MOUSE]
O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Mus musculus GN=Anp32a PE=1 SV=1 - [AN32A_MOUSE]
E9PUL5,Proline-rich transmembrane protein 2 OS=Mus musculus GN=Prrt2 PE=1 SV=1 - [PRRT2_MOUSE]
Q9D8L5,Coiled-coil domain-containing protein 91 OS=Mus musculus GN=Ccdc91 PE=2 SV=2 - [CCD91_MOUSE]
O70400,PDZ and LIM domain protein 1 OS=Mus musculus GN=Pdlim1 PE=2 SV=4 - [PDLI1_MOUSE]
V9GXM1,ADP-ribosylation factor GTPase-activating protein 1 OS=Mus musculus GN=Arfgap1 PE=1 SV=1 - [V9GXM1_MOUSE]
E9PY39,Protein Gm20431 OS=Mus musculus GN=Gm20431 PE=4 SV=1 - [E9PY39_MOUSE]
Q9ER35,Fructosamine-3-kinase OS=Mus musculus GN=Fn3k PE=2 SV=1 - [FN3K_MOUSE]
P11531,Dystrophin OS=Mus musculus GN=Dmd PE=1 SV=3 - [DMD_MOUSE]
P68037,Ubiquitin-conjugating enzyme E2 L3 OS=Mus musculus GN=Ube2l3 PE=2 SV=1 - [UB2L3_MOUSE]
Q3UE92,"X-prolyl aminopeptidase (Aminopeptidase P) 1, soluble, isoform CRA_b OS=Mus musculus GN=Xpnpep1 PE=2 SV=1 - [Q3UE92_MOUSE]"
Q8BXK9,Chloride intracellular channel protein 5 OS=Mus musculus GN=Clic5 PE=1 SV=1 - [CLIC5_MOUSE]
Q8K1R3,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Mus musculus GN=Pnpt1 PE=1 SV=1 - [PNPT1_MOUSE]"
E9PXV3,Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=1 SV=1 - [E9PXV3_MOUSE]
O54786,DNA fragmentation factor subunit alpha OS=Mus musculus GN=Dffa PE=1 SV=2 - [DFFA_MOUSE]
Q99KH8,Serine/threonine-protein kinase 24 OS=Mus musculus GN=Stk24 PE=1 SV=1 - [STK24_MOUSE]
Q6DFY2,Opioid binding protein/cell adhesion molecule-like OS=Mus musculus GN=Opcml PE=2 SV=1 - [Q6DFY2_MOUSE]
Q9QUI0,Transforming protein RhoA OS=Mus musculus GN=Rhoa PE=1 SV=1 - [RHOA_MOUSE]
Q8K4F5,Alpha/beta hydrolase domain-containing protein 11 OS=Mus musculus GN=Abhd11 PE=1 SV=1 - [ABHDB_MOUSE]
Q62376,U1 small nuclear ribonucleoprotein 70 kDa OS=Mus musculus GN=Snrnp70 PE=1 SV=2 - [RU17_MOUSE]
Q93092,Transaldolase OS=Mus musculus GN=Taldo1 PE=1 SV=2 - [TALDO_MOUSE]
Q3TIU4,"2',5'-phosphodiesterase 12 OS=Mus musculus GN=Pde12 PE=2 SV=2 - [PDE12_MOUSE]"
P38060,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus GN=Hmgcl PE=1 SV=2 - [HMGCL_MOUSE]"
E9QNR6,Protein AI837181 OS=Mus musculus GN=AI837181 PE=4 SV=1 - [E9QNR6_MOUSE]
Q62318,Transcription intermediary factor 1-beta OS=Mus musculus GN=Trim28 PE=1 SV=3 - [TIF1B_MOUSE]
Q9CQ40,"39S ribosomal protein L49, mitochondrial OS=Mus musculus GN=Mrpl49 PE=2 SV=1 - [RM49_MOUSE]"
P49722,Proteasome subunit alpha type-2 OS=Mus musculus GN=Psma2 PE=1 SV=3 - [PSA2_MOUSE]
Q3UH60,Disco-interacting protein 2 homolog B OS=Mus musculus GN=Dip2b PE=1 SV=1 - [DIP2B_MOUSE]
Q3SXD3,HD domain-containing protein 2 OS=Mus musculus GN=Hddc2 PE=2 SV=1 - [HDDC2_MOUSE]
P26339,Chromogranin-A OS=Mus musculus GN=Chga PE=1 SV=1 - [CMGA_MOUSE]
P62748,Hippocalcin-like protein 1 OS=Mus musculus GN=Hpcal1 PE=2 SV=2 - [HPCL1_MOUSE]
P40630,"Transcription factor A, mitochondrial OS=Mus musculus GN=Tfam PE=1 SV=2 - [TFAM_MOUSE]"
Q02105,Complement C1q subcomponent subunit C OS=Mus musculus GN=C1qc PE=2 SV=2 - [C1QC_MOUSE]
P63024,Vesicle-associated membrane protein 3 OS=Mus musculus GN=Vamp3 PE=1 SV=1 - [VAMP3_MOUSE]
Q9WUA3,"ATP-dependent 6-phosphofructokinase, platelet type OS=Mus musculus GN=Pfkp PE=1 SV=1 - [PFKAP_MOUSE]"
Q8R4N0,"Citrate lyase subunit beta-like protein, mitochondrial OS=Mus musculus GN=Clybl PE=1 SV=2 - [CLYBL_MOUSE]"
H3BK65,Epidermal growth factor receptor substrate 15 OS=Mus musculus GN=Eps15 PE=1 SV=1 - [H3BK65_MOUSE]
D3Z7X0,MCG142036 OS=Mus musculus GN=Acad12 PE=3 SV=1 - [D3Z7X0_MOUSE]
P61759,Prefoldin subunit 3 OS=Mus musculus GN=Vbp1 PE=2 SV=2 - [PFD3_MOUSE]
Q6NZD2,Sorting nexin 1 OS=Mus musculus GN=Snx1 PE=2 SV=1 - [Q6NZD2_MOUSE]
P12961,Neuroendocrine protein 7B2 OS=Mus musculus GN=Scg5 PE=1 SV=1 - [7B2_MOUSE]
Q6NXN1,SUZ domain-containing protein 1 OS=Mus musculus GN=Szrd1 PE=1 SV=1 - [SZRD1_MOUSE]
A2AN84,55 kDa erythrocyte membrane protein OS=Mus musculus GN=Mpp1 PE=1 SV=1 - [A2AN84_MOUSE]
Q8WTY4,Anamorsin OS=Mus musculus GN=Ciapin1 PE=1 SV=1 - [CPIN1_MOUSE]
Q8VHC3,Selenoprotein M OS=Mus musculus GN=Selm PE=1 SV=3 - [SELM_MOUSE]
P06837,Neuromodulin OS=Mus musculus GN=Gap43 PE=1 SV=1 - [NEUM_MOUSE]
Q9CR13,UPF0562 protein C7orf55 homolog OS=Mus musculus PE=3 SV=1 - [CG055_MOUSE]
Q62425,Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2 - [NDUA4_MOUSE]
Q6IR34,G-protein-signaling modulator 1 OS=Mus musculus GN=Gpsm1 PE=1 SV=3 - [GPSM1_MOUSE]
Q91VA6,Polymerase delta-interacting protein 2 OS=Mus musculus GN=Poldip2 PE=2 SV=1 - [PDIP2_MOUSE]
Q9WUL7,ADP-ribosylation factor-like protein 3 OS=Mus musculus GN=Arl3 PE=1 SV=1 - [ARL3_MOUSE]
P20065,Thymosin beta-4 OS=Mus musculus GN=Tmsb4x PE=1 SV=1 - [TYB4_MOUSE]
Q9CZ30,Obg-like ATPase 1 OS=Mus musculus GN=Ola1 PE=1 SV=1 - [OLA1_MOUSE]
P60867,40S ribosomal protein S20 OS=Mus musculus GN=Rps20 PE=1 SV=1 - [RS20_MOUSE]
P49813,Tropomodulin-1 OS=Mus musculus GN=Tmod1 PE=2 SV=2 - [TMOD1_MOUSE]
P28650,Adenylosuccinate synthetase isozyme 1 OS=Mus musculus GN=Adssl1 PE=1 SV=2 - [PURA1_MOUSE]
Q91VZ6,Stromal membrane-associated protein 1 OS=Mus musculus GN=Smap1 PE=1 SV=1 - [SMAP1_MOUSE]
P49442,Inositol polyphosphate 1-phosphatase OS=Mus musculus GN=Inpp1 PE=1 SV=2 - [INPP_MOUSE]
Q6WVG3,BTB/POZ domain-containing protein KCTD12 OS=Mus musculus GN=Kctd12 PE=1 SV=1 - [KCD12_MOUSE]
Q61189,Methylosome subunit pICln OS=Mus musculus GN=Clns1a PE=2 SV=1 - [ICLN_MOUSE]
Q6P8X1,Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=2 - [SNX6_MOUSE]
Q3TYA4,Syntaxin-binding protein 6 OS=Mus musculus GN=Stxbp6 PE=2 SV=1 - [Q3TYA4_MOUSE]
P35235,Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus GN=Ptpn11 PE=1 SV=2 - [PTN11_MOUSE]
Q80TJ1,Calcium-dependent secretion activator 1 OS=Mus musculus GN=Cadps PE=1 SV=3 - [CAPS1_MOUSE]
Q60972,Histone-binding protein RBBP4 OS=Mus musculus GN=Rbbp4 PE=1 SV=5 - [RBBP4_MOUSE]
Q9QYG0,Protein NDRG2 OS=Mus musculus GN=Ndrg2 PE=1 SV=1 - [NDRG2_MOUSE]
P14231,Sodium/potassium-transporting ATPase subunit beta-2 OS=Mus musculus GN=Atp1b2 PE=1 SV=2 - [AT1B2_MOUSE]
Q9JK48,Endophilin-B1 OS=Mus musculus GN=Sh3glb1 PE=1 SV=1 - [SHLB1_MOUSE]
Q99NB8,Ubiquilin-4 OS=Mus musculus GN=Ubqln4 PE=1 SV=1 - [UBQL4_MOUSE]
P51125,Calpastatin OS=Mus musculus GN=Cast PE=1 SV=2 - [ICAL_MOUSE]
Q3USB7,Inactive phospholipase C-like protein 1 OS=Mus musculus GN=Plcl1 PE=1 SV=3 - [PLCL1_MOUSE]
Q61361,Brevican core protein OS=Mus musculus GN=Bcan PE=1 SV=2 - [PGCB_MOUSE]
Q9CR51,V-type proton ATPase subunit G 1 OS=Mus musculus GN=Atp6v1g1 PE=2 SV=3 - [VATG1_MOUSE]
Q9CR68,"Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus GN=Uqcrfs1 PE=1 SV=1 - [UCRI_MOUSE]"
Q8CFR5,Dystrobrevin OS=Mus musculus GN=Dtna PE=2 SV=1 - [Q8CFR5_MOUSE]
Q9CWM4,Prefoldin subunit 1 OS=Mus musculus GN=Pfdn1 PE=2 SV=1 - [PFD1_MOUSE]
Q60692,Proteasome subunit beta type-6 OS=Mus musculus GN=Psmb6 PE=1 SV=3 - [PSB6_MOUSE]
Q6PDL0,Cytoplasmic dynein 1 light intermediate chain 2 OS=Mus musculus GN=Dync1li2 PE=1 SV=2 - [DC1L2_MOUSE]
P48455,Serine/threonine-protein phosphatase 2B catalytic subunit gamma isoform OS=Mus musculus GN=Ppp3cc PE=2 SV=1 - [PP2BC_MOUSE]
O88507,Ciliary neurotrophic factor receptor subunit alpha OS=Mus musculus GN=Cntfr PE=1 SV=2 - [CNTFR_MOUSE]
P50114,Protein S100-B OS=Mus musculus GN=S100b PE=2 SV=2 - [S100B_MOUSE]
Q64674,Spermidine synthase OS=Mus musculus GN=Srm PE=2 SV=1 - [SPEE_MOUSE]
Q9R1P0,Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1 - [PSA4_MOUSE]
Q9CQM5,Thioredoxin domain-containing protein 17 OS=Mus musculus GN=Txndc17 PE=1 SV=1 - [TXD17_MOUSE]
Q9JLB0,MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1 - [MPP6_MOUSE]
Q8BFQ8,Parkinson disease 7 domain-containing protein 1 OS=Mus musculus GN=Pddc1 PE=1 SV=1 - [PDDC1_MOUSE]
P80317,T-complex protein 1 subunit zeta OS=Mus musculus GN=Cct6a PE=1 SV=3 - [TCPZ_MOUSE]
Q3UYC0,Protein phosphatase 1H OS=Mus musculus GN=Ppm1h PE=1 SV=1 - [PPM1H_MOUSE]
Q8CDN6,Thioredoxin-like protein 1 OS=Mus musculus GN=Txnl1 PE=2 SV=3 - [TXNL1_MOUSE]
Q61337,Bcl2-associated agonist of cell death OS=Mus musculus GN=Bad PE=1 SV=1 - [BAD_MOUSE]
Q8K0T0,Reticulon-1 OS=Mus musculus GN=Rtn1 PE=1 SV=1 - [RTN1_MOUSE]
E9Q5B0,Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus GN=Camsap3 PE=2 SV=1 - [E9Q5B0_MOUSE]
H3BKH6,S-formylglutathione hydrolase OS=Mus musculus GN=Esd PE=1 SV=1 - [H3BKH6_MOUSE]
Q8CG76,Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus GN=Akr7a2 PE=1 SV=3 - [ARK72_MOUSE]
Q9DBC0,Selenoprotein O OS=Mus musculus GN=Selo PE=2 SV=4 - [SELO_MOUSE]
B1B0C7,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=4 SV=1 - [B1B0C7_MOUSE]
Q9D1X0,Nucleolar protein 3 OS=Mus musculus GN=Nol3 PE=1 SV=1 - [NOL3_MOUSE]
P47791,"Glutathione reductase, mitochondrial OS=Mus musculus GN=Gsr PE=1 SV=3 - [GSHR_MOUSE]"
E9Q1S3,Protein transport protein Sec23A OS=Mus musculus GN=Sec23a PE=4 SV=1 - [E9Q1S3_MOUSE]
Q9JHQ5,Leucine zipper transcription factor-like protein 1 OS=Mus musculus GN=Lztfl1 PE=1 SV=1 - [LZTL1_MOUSE]
Q9ERT9,Protein phosphatase 1 regulatory subunit 1A OS=Mus musculus GN=Ppp1r1a PE=2 SV=1 - [PPR1A_MOUSE]
Q9R257,Heme-binding protein 1 OS=Mus musculus GN=Hebp1 PE=1 SV=2 - [HEBP1_MOUSE]
P70404,"Isocitrate dehydrogenase [NAD] subunit gamma 1, mitochondrial OS=Mus musculus GN=Idh3g PE=1 SV=1 - [IDHG1_MOUSE]"
Q9Z0P5,Twinfilin-2 OS=Mus musculus GN=Twf2 PE=1 SV=1 - [TWF2_MOUSE]
Q7TQH0,Ataxin-2-like protein OS=Mus musculus GN=Atxn2l PE=1 SV=1 - [ATX2L_MOUSE]
Q60790,Ras GTPase-activating protein 3 OS=Mus musculus GN=Rasa3 PE=1 SV=2 - [RASA3_MOUSE]
Q61249,Immunoglobulin-binding protein 1 OS=Mus musculus GN=Igbp1 PE=1 SV=1 - [IGBP1_MOUSE]
B1APX2,Protein 5031439G07Rik OS=Mus musculus GN=5031439G07Rik PE=1 SV=1 - [B1APX2_MOUSE]
Q9Z0E0,Neurochondrin OS=Mus musculus GN=Ncdn PE=1 SV=1 - [NCDN_MOUSE]
Q91WU5,Arsenite methyltransferase OS=Mus musculus GN=As3mt PE=2 SV=2 - [AS3MT_MOUSE]
A0A023T672,RNA-binding protein 8A OS=Mus musculus GN=RBM8 PE=2 SV=1 - [A0A023T672_MOUSE]
Q6ZWM4,U6 snRNA-associated Sm-like protein LSm8 OS=Mus musculus GN=Lsm8 PE=3 SV=3 - [LSM8_MOUSE]
Q923X4,"Glutaredoxin-2, mitochondrial OS=Mus musculus GN=Glrx2 PE=1 SV=1 - [GLRX2_MOUSE]"
P22005,Proenkephalin-A OS=Mus musculus GN=Penk PE=2 SV=2 - [PENK_MOUSE]
Q07079,Insulin-like growth factor-binding protein 5 OS=Mus musculus GN=Igfbp5 PE=1 SV=1 - [IBP5_MOUSE]
E9PZ43,Microtubule-associated protein OS=Mus musculus GN=Map4 PE=1 SV=2 - [E9PZ43_MOUSE]
Q91XE4,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) OS=Mus musculus GN=Acy3 PE=1 SV=1 - [ACY3_MOUSE]
Q64727,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4 - [VINC_MOUSE]
P27612,Phospholipase A-2-activating protein OS=Mus musculus GN=Plaa PE=1 SV=4 - [PLAP_MOUSE]
Q8BGT8,Phytanoyl-CoA hydroxylase-interacting protein-like OS=Mus musculus GN=Phyhipl PE=2 SV=1 - [PHIPL_MOUSE]
O88951,Protein lin-7 homolog B OS=Mus musculus GN=Lin7b PE=1 SV=2 - [LIN7B_MOUSE]
Q8CC35,Synaptopodin OS=Mus musculus GN=Synpo PE=1 SV=2 - [SYNPO_MOUSE]
Q9R1V7,Disintegrin and metalloproteinase domain-containing protein 23 OS=Mus musculus GN=Adam23 PE=1 SV=1 - [ADA23_MOUSE]
O54962,Barrier-to-autointegration factor OS=Mus musculus GN=Banf1 PE=1 SV=1 - [BAF_MOUSE]
P01029,Complement C4-B OS=Mus musculus GN=C4b PE=1 SV=3 - [CO4B_MOUSE]
P15116,Cadherin-2 OS=Mus musculus GN=Cdh2 PE=1 SV=2 - [CADH2_MOUSE]
P62881,Guanine nucleotide-binding protein subunit beta-5 OS=Mus musculus GN=Gnb5 PE=1 SV=1 - [GBB5_MOUSE]
Q8VCI5,Peroxisomal biogenesis factor 19 OS=Mus musculus GN=Pex19 PE=1 SV=1 - [PEX19_MOUSE]
P11983,T-complex protein 1 subunit alpha OS=Mus musculus GN=Tcp1 PE=1 SV=3 - [TCPA_MOUSE]
O35295,Transcriptional activator protein Pur-beta OS=Mus musculus GN=Purb PE=1 SV=3 - [PURB_MOUSE]
P21460,Cystatin-C OS=Mus musculus GN=Cst3 PE=2 SV=2 - [CYTC_MOUSE]
P62774,Myotrophin OS=Mus musculus GN=Mtpn PE=1 SV=2 - [MTPN_MOUSE]
Q9Z2I2,Peptidyl-prolyl cis-trans isomerase FKBP1B OS=Mus musculus GN=Fkbp1b PE=1 SV=3 - [FKB1B_MOUSE]
Q3V3V9,Leucine-rich repeat-containing protein 16C OS=Mus musculus GN=Rltpr PE=2 SV=2 - [LR16C_MOUSE]
Q9JLV1,BAG family molecular chaperone regulator 3 OS=Mus musculus GN=Bag3 PE=1 SV=2 - [BAG3_MOUSE]
Q9QYB1,Chloride intracellular channel protein 4 OS=Mus musculus GN=Clic4 PE=1 SV=3 - [CLIC4_MOUSE]
E9PUD2,Dynamin-1-like protein OS=Mus musculus GN=Dnm1l PE=1 SV=1 - [E9PUD2_MOUSE]
Q9CQF0,"39S ribosomal protein L11, mitochondrial OS=Mus musculus GN=Mrpl11 PE=2 SV=1 - [RM11_MOUSE]"
Q8CEI1,BolA-like protein 3 OS=Mus musculus GN=Bola3 PE=2 SV=1 - [BOLA3_MOUSE]
Q9ERB0,Synaptosomal-associated protein 29 OS=Mus musculus GN=Snap29 PE=2 SV=1 - [SNP29_MOUSE]
Q9JJL8,"Serine--tRNA ligase, mitochondrial OS=Mus musculus GN=Sars2 PE=1 SV=2 - [SYSM_MOUSE]"
A0A087WNT1,Transcription elongation factor B polypeptide 1 OS=Mus musculus GN=Tceb1 PE=4 SV=1 - [A0A087WNT1_MOUSE]
Q640R3,Hepatocyte cell adhesion molecule OS=Mus musculus GN=Hepacam PE=1 SV=2 - [HECAM_MOUSE]
Q91VI7,Ribonuclease inhibitor OS=Mus musculus GN=Rnh1 PE=1 SV=1 - [RINI_MOUSE]
Q9CQU0,Thioredoxin domain-containing protein 12 OS=Mus musculus GN=Txndc12 PE=2 SV=1 - [TXD12_MOUSE]
Q9CYG7,Mitochondrial import receptor subunit TOM34 OS=Mus musculus GN=Tomm34 PE=2 SV=1 - [TOM34_MOUSE]
Q4V9Z5,Seizure 6-like protein 2 OS=Mus musculus GN=Sez6l2 PE=2 SV=1 - [SE6L2_MOUSE]
Q8VCE6,"5'(3')-deoxyribonucleotidase, mitochondrial OS=Mus musculus GN=Nt5m PE=2 SV=1 - [NT5M_MOUSE]"
Q9QZF2,Glypican-1 OS=Mus musculus GN=Gpc1 PE=1 SV=1 - [GPC1_MOUSE]
Q61704,Inter-alpha-trypsin inhibitor heavy chain H3 OS=Mus musculus GN=Itih3 PE=1 SV=3 - [ITIH3_MOUSE]
P51432,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 OS=Mus musculus GN=Plcb3 PE=2 SV=2 - [PLCB3_MOUSE]"
Q9D113,DNL-type zinc finger protein OS=Mus musculus GN=Dnlz PE=2 SV=1 - [DNLZ_MOUSE]
E9PY16,Protein Adap1 OS=Mus musculus GN=Adap1 PE=1 SV=1 - [E9PY16_MOUSE]
P84096,Rho-related GTP-binding protein RhoG OS=Mus musculus GN=Rhog PE=2 SV=1 - [RHOG_MOUSE]
Q9ES97,Reticulon-3 OS=Mus musculus GN=Rtn3 PE=1 SV=2 - [RTN3_MOUSE]
Q8BG73,SH3 domain-binding glutamic acid-rich-like protein 2 OS=Mus musculus GN=Sh3bgrl2 PE=1 SV=1 - [SH3L2_MOUSE]
Q99KY4,Cyclin-G-associated kinase OS=Mus musculus GN=Gak PE=1 SV=2 - [GAK_MOUSE]
Q9ER00,Syntaxin-12 OS=Mus musculus GN=Stx12 PE=1 SV=1 - [STX12_MOUSE]
Q8R3Q6,Coiled-coil domain-containing protein 58 OS=Mus musculus GN=Ccdc58 PE=2 SV=1 - [CCD58_MOUSE]
P63085,Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3 - [MK01_MOUSE]
Q63844,Mitogen-activated protein kinase 3 OS=Mus musculus GN=Mapk3 PE=1 SV=5 - [MK03_MOUSE]
E9PUM4,Talin-2 OS=Mus musculus GN=Tln2 PE=4 SV=1 - [E9PUM4_MOUSE]
Q922Q9,Chitinase domain-containing protein 1 OS=Mus musculus GN=Chid1 PE=2 SV=1 - [CHID1_MOUSE]
Q9D892,Inosine triphosphate pyrophosphatase OS=Mus musculus GN=Itpa PE=1 SV=2 - [ITPA_MOUSE]
A0A0A0MQD5,SH3 and multiple ankyrin repeat domains protein 3 OS=Mus musculus GN=Shank3 PE=4 SV=1 - [A0A0A0MQD5_MOUSE]
Q8C8N2,Protein SCAI OS=Mus musculus GN=Scai PE=1 SV=2 - [SCAI_MOUSE]
P70697,Uroporphyrinogen decarboxylase OS=Mus musculus GN=Urod PE=1 SV=2 - [DCUP_MOUSE]
P63248,cAMP-dependent protein kinase inhibitor alpha OS=Mus musculus GN=Pkia PE=1 SV=2 - [IPKA_MOUSE]
P27048,Small nuclear ribonucleoprotein-associated protein B OS=Mus musculus GN=Snrpb PE=1 SV=1 - [RSMB_MOUSE]
O35633,Vesicular inhibitory amino acid transporter OS=Mus musculus GN=Slc32a1 PE=1 SV=3 - [VIAAT_MOUSE]
Q8K010,5-oxoprolinase OS=Mus musculus GN=Oplah PE=2 SV=1 - [OPLA_MOUSE]
P21279,Guanine nucleotide-binding protein G(q) subunit alpha OS=Mus musculus GN=Gnaq PE=1 SV=4 - [GNAQ_MOUSE]
G3XA48,Isopentenyl-diphosphate Delta-isomerase 1 OS=Mus musculus GN=Idi1 PE=4 SV=1 - [G3XA48_MOUSE]
Q63ZW7,InaD-like protein OS=Mus musculus GN=Inadl PE=1 SV=2 - [INADL_MOUSE]
O35887,Calumenin OS=Mus musculus GN=Calu PE=1 SV=1 - [CALU_MOUSE]
Q6XLQ8,Calumenin OS=Mus musculus GN=Calu PE=2 SV=1 - [Q6XLQ8_MOUSE]
Q9D8Z2,TP53-regulated inhibitor of apoptosis 1 OS=Mus musculus GN=Triap1 PE=2 SV=1 - [TRIA1_MOUSE]
Q9WVQ1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 OS=Mus musculus GN=Magi2 PE=1 SV=2 - [MAGI2_MOUSE]"
Q9CQI6,Coactosin-like protein OS=Mus musculus GN=Cotl1 PE=1 SV=3 - [COTL1_MOUSE]
A2AJQ0,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Mus musculus GN=Pdp1 PE=3 SV=2 - [A2AJQ0_MOUSE]"
P19783,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Mus musculus GN=Cox4i1 PE=1 SV=2 - [COX41_MOUSE]"
A2ALU4,Protein Shroom2 OS=Mus musculus GN=Shroom2 PE=1 SV=1 - [SHRM2_MOUSE]
Q9JIS5,Synaptic vesicle glycoprotein 2A OS=Mus musculus GN=Sv2a PE=1 SV=1 - [SV2A_MOUSE]
Q9ERG0,LIM domain and actin-binding protein 1 OS=Mus musculus GN=Lima1 PE=1 SV=3 - [LIMA1_MOUSE]
Q64387,Prepronociceptin OS=Mus musculus GN=Pnoc PE=2 SV=1 - [PNOC_MOUSE]
